ReferenceGenome,SRA_Data
GCF_000831565.1_ASM83156v1_genomic.gbff.gz,SRR10253888
GCF_000831585.1_ASM83158v1_genomic.gbff.gz,SRR10253889
GCF_000831645.3_ASM83164v3_genomic.gbff.gz,SRR10253890
GCF_000831935.2_ASM83193v2_genomic.gbff.gz,SRR10253891
GCF_000832145.1_ASM83214v1_genomic.gbff.gz,SRR10253892
GCF_000832305.1_ASM83230v1_genomic.gbff.gz,SRR10253773
GCF_000832385.1_ASM83238v1_genomic.gbff.gz,SRR10253774
GCF_000832405.1_ASM83240v1_genomic.gbff.gz,SRR10253775
GCF_000832425.1_ASM83242v1_genomic.gbff.gz,SRR10253776
GCF_000832445.1_ASM83244v1_genomic.gbff.gz,SRR10253777
GCF_000832465.1_ASM83246v1_genomic.gbff.gz,SRR10253779
GCF_000832485.1_ASM83248v1_genomic.gbff.gz,SRR10253781
GCF_000832505.1_ASM83250v1_genomic.gbff.gz,SRR10253782
GCF_000832525.1_ASM83252v1_genomic.gbff.gz,SRR10253784
GCF_000832565.1_ASM83256v1_genomic.gbff.gz,SRR10253785
GCF_000832585.1_ASM83258v1_genomic.gbff.gz,SRR10253786
GCF_000832605.1_ASM83260v1_genomic.gbff.gz,SRR10253787
GCF_000832635.1_ASM83263v1_genomic.gbff.gz,SRR10253788
GCF_000832665.1_ASM83266v1_genomic.gbff.gz,SRR10253789
GCF_000832725.1_ASM83272v1_genomic.gbff.gz,SRR10253791
GCF_000832745.1_ASM83274v1_genomic.gbff.gz,SRR10253795
GCF_000832765.1_ASM83276v1_genomic.gbff.gz,SRR10253797
GCF_000832785.1_ASM83278v1_genomic.gbff.gz,SRR10253798
GCF_000832805.1_ASM83280v1_genomic.gbff.gz,SRR10253799
GCF_000832825.1_ASM83282v1_genomic.gbff.gz,SRR10253800
GCF_000832845.1_ASM83284v1_genomic.gbff.gz,SRR10253801
GCF_000832865.1_ASM83286v1_genomic.gbff.gz,SRR10253802
GCF_000832885.1_ASM83288v1_genomic.gbff.gz,SRR10253803
GCF_000832905.1_ASM83290v1_genomic.gbff.gz,SRR10253804
GCF_000832925.1_ASM83292v1_genomic.gbff.gz,SRR10253806
GCF_000832965.1_ASM83296v1_genomic.gbff.gz,SRR10253807
GCF_000832985.1_ASM83298v1_genomic.gbff.gz,SRR10253808
GCF_000833005.1_ASM83300v1_genomic.gbff.gz,SRR10253809
GCF_000833025.1_ASM83302v1_genomic.gbff.gz,SRR10253810
GCF_000833045.1_ASM83304v1_genomic.gbff.gz,SRR10253811
GCF_000833065.1_ASM83306v1_genomic.gbff.gz,SRR10253812
GCF_000833085.1_ASM83308v1_genomic.gbff.gz,SRR10253814
GCF_000833105.2_ASM83310v2_genomic.gbff.gz,SRR10253815
GCF_000833125.1_ASM83312v1_genomic.gbff.gz,SRR10253817
GCF_000833145.1_ASM83314v1_genomic.gbff.gz,SRR10253818
GCF_000833165.1_ASM83316v1_genomic.gbff.gz,SRR10253819
GCF_000833195.1_ASM83319v1_genomic.gbff.gz,SRR10253820
GCF_000833215.1_ASM83321v1_genomic.gbff.gz,SRR10253821
GCF_000833235.1_ASM83323v1_genomic.gbff.gz,SRR10253822
GCF_000833255.1_ASM83325v1_genomic.gbff.gz,SRR10253823
GCF_000833275.1_ASM83327v1_genomic.gbff.gz,SRR10253824
GCF_000833295.1_ASM83329v1_genomic.gbff.gz,SRR10253825
GCF_000833315.1_ASM83331v1_genomic.gbff.gz,SRR10253826
GCF_000833335.1_ASM83333v1_genomic.gbff.gz,SRR10253828
GCF_000833355.1_ASM83335v1_genomic.gbff.gz,SRR10253831
GCF_000833375.1_ASM83337v1_genomic.gbff.gz,SRR10253832
GCF_000833455.1_ASM83345v1_genomic.gbff.gz,SRR10253833
GCF_000833475.1_ASM83347v1_genomic.gbff.gz,SRR10253834
GCF_000833495.1_ASM83349v1_genomic.gbff.gz,SRR10253835
GCF_000833515.1_ASM83351v1_genomic.gbff.gz,SRR10253837
GCF_000833535.1_ASM83353v1_genomic.gbff.gz,SRR10253836
GCF_000833575.1_ASM83357v1_genomic.gbff.gz,SRR10253839
GCF_000833635.2_ASM83363v2_genomic.gbff.gz,SRR10253840
GCF_000834195.1_ASM83419v1_genomic.gbff.gz,SRR10253841
GCF_000834215.1_ASM83421v1_genomic.gbff.gz,SRR10253842
GCF_000834235.1_ASM83423v1_genomic.gbff.gz,SRR10253844
GCF_000834255.1_ASM83425v1_genomic.gbff.gz,SRR10253845
GCF_000834275.1_ASM83427v1_genomic.gbff.gz,SRR10253846
GCF_000834295.1_ASM83429v1_genomic.gbff.gz,SRR10253847
GCF_000834315.1_ASM83431v1_genomic.gbff.gz,SRR10253848
GCF_000834335.1_ASM83433v1_genomic.gbff.gz,SRR10253850
GCF_000834355.1_ASM83435v1_genomic.gbff.gz,SRR10253851
GCF_000834375.1_ASM83437v1_genomic.gbff.gz,SRR10253852
GCF_000834395.1_ASM83439v1_genomic.gbff.gz,SRR10253853
GCF_000834415.1_ASM83441v1_genomic.gbff.gz,SRR10253854
GCF_000834435.1_ASM83443v1_genomic.gbff.gz,SRR10253855
GCF_000834455.1_ASM83445v1_genomic.gbff.gz,SRR10253856
GCF_000834475.1_ASM83447v1_genomic.gbff.gz,SRR10253857
GCF_000834495.1_ASM83449v1_genomic.gbff.gz,SRR10253858
GCF_000834515.1_ASM83451v1_genomic.gbff.gz,SRR10253859
GCF_000834735.1_ASM83473v1_genomic.gbff.gz,SRR10253861
GCF_000834755.1_ASM83475v1_genomic.gbff.gz,SRR10253862
GCF_000834775.1_ASM83477v1_genomic.gbff.gz,SRR10253863
GCF_000834825.1_ASM83482v1_genomic.gbff.gz,SRR10253864
GCF_000834845.1_ASM83484v1_genomic.gbff.gz,SRR10253865
GCF_000834865.1_ASM83486v1_genomic.gbff.gz,SRR10253866
GCF_000834885.1_ASM83488v1_genomic.gbff.gz,SRR10253867
GCF_000834925.1_ASM83492v1_genomic.gbff.gz,SRR10253871
GCF_000834945.1_ASM83494v1_genomic.gbff.gz,SRR10253882
GCF_000834965.1_ASM83496v1_genomic.gbff.gz,SRR10253893
GCF_000834985.1_ASM83498v1_genomic.gbff.gz,SRR10253783
GCF_000835025.1_ASM83502v1_genomic.gbff.gz,SRR10253794
GCF_000835085.1_ASM83508v1_genomic.gbff.gz,SRR10253805
GCF_000835145.1_ASM83514v1_genomic.gbff.gz,SRR10253816
GCF_000835165.1_ASM83516v1_genomic.gbff.gz,SRR10253827
GCF_000835185.1_ASM83518v1_genomic.gbff.gz,SRR10253849
GCF_000835205.1_ASM83520v1_genomic.gbff.gz,SRR10253860
GCF_000835225.1_ASM83522v1_genomic.gbff.gz,SRR10253894
GCF_000835265.1_ASM83526v1_genomic.gbff.gz,SRR10253895
GCF_000835285.1_ASM83528v1_genomic.gbff.gz,SRR9042859
GCF_000835305.1_ASM83530v1_genomic.gbff.gz,SRR1556293
GCF_000835345.1_ASM83534v1_genomic.gbff.gz,SRR1556290
GCF_000835365.1_ASM83536v1_genomic.gbff.gz,SRR1556291
GCF_000875675.1_ASM87567v1_genomic.gbff.gz,SRR1206159
GCF_000875695.1_ASM87569v1_genomic.gbff.gz,SRR1556294
GCF_000875715.1_ASM87571v1_genomic.gbff.gz,SRR1198916
GCF_000875755.1_ASM87575v1_genomic.gbff.gz,SRR2544674
GCF_000876525.1_ASM87652v1_genomic.gbff.gz,SRR4121060
GCF_000876545.1_ASM87654v1_genomic.gbff.gz,SRR4242798
GCF_000876675.2_ASM87667v2_genomic.gbff.gz,SRR5884027
GCF_000877815.1_ASM87781v1_genomic.gbff.gz,SRR9043693
GCF_000931425.2_ASM93142v2_genomic.gbff.gz,SRR5498136
GCF_000931445.1_ASM93144v1_genomic.gbff.gz,SRR4121020
GCF_000931465.1_ASM93146v1_genomic.gbff.gz,SRR9043695
GCF_000931565.1_ASM93156v1_genomic.gbff.gz,SRR9042856
GCF_000931575.1_ASM93157v1_genomic.gbff.gz,SRR9043660
GCF_000931605.1_ASM93160v1_genomic.gbff.gz,SRR9043684
GCF_000931625.1_ASM93162v1_genomic.gbff.gz,SRR9043027
GCF_000932055.2_ASM93205v2_genomic.gbff.gz,SRR9043694
GCF_000934305.1_ASM93430v1_genomic.gbff.gz,SRR9042857
GCF_000934325.3_ASM93432v3_genomic.gbff.gz,SRR9042863
GCF_000934525.1_ASM93452v1_genomic.gbff.gz,SRR2533566
GCF_000934545.1_ASM93454v1_genomic.gbff.gz,SRR2533565
GCF_000934565.1_ASM93456v1_genomic.gbff.gz,SRR5912682
GCF_000934605.2_ASM93460v2_genomic.gbff.gz,SRR10337442
GCF_000934625.1_ASM93462v1_genomic.gbff.gz,SRR11101341
GCF_000935025.1_ASM93502v1_genomic.gbff.gz,SRR11101395
GCF_000935185.3_ASM93518v3_genomic.gbff.gz,SRR11101397
GCF_000939415.2_HGAP assembly of Acinetobacter baumannii ORAB01_genomic.gbff.gz,SRR2994379
GCF_000940785.1_ASM94078v1_genomic.gbff.gz,SRR10387682
GCF_000940805.1_ASM94080v1_genomic.gbff.gz,SRR10420793
GCF_000940825.1_ASM94082v1_genomic.gbff.gz,SRR21131475
GCF_000940845.1_ASM94084v1_genomic.gbff.gz,SRR9988392
GCF_000940895.2_ASM94089v2_genomic.gbff.gz,SRR6373397
GCF_000940915.1_ASM94091v1_genomic.gbff.gz,SRR10520171
GCF_000940935.2_ASM94093v2_genomic.gbff.gz,SRR10520181
GCF_000940975.1_ASM94097v1_genomic.gbff.gz,SRR10520179
GCF_000940995.1_ASM94099v1_genomic.gbff.gz,SRR10520182
GCF_000941015.2_ASM94101v2_genomic.gbff.gz,SRR10520183
GCF_000941035.1_ASM94103v1_genomic.gbff.gz,SRR10520184
GCF_000941055.1_ASM94105v1_genomic.gbff.gz,SRR10520185
GCF_000941075.1_ASM94107v1_genomic.gbff.gz,SRR10520186
GCF_000941635.2_ASM94163v2_genomic.gbff.gz,SRR10520172
GCF_000943515.2_ASM94351v2_genomic.gbff.gz,SRR10520187
GCF_000943805.1_ASM94380v1_genomic.gbff.gz,SRR10520188
GCF_000947915.1_ASM94791v1_genomic.gbff.gz,SRR10520173
GCF_000948075.1_ASM94807v1_genomic.gbff.gz,SRR10520174
GCF_000948975.2_ASM94897v2_genomic.gbff.gz,SRR10520176
GCF_000948985.2_ASM94898v2_genomic.gbff.gz,SRR10520177
GCF_000949425.1_ASM94942v1_genomic.gbff.gz,SRR10520178
GCF_000950575.1_ASM95057v1_genomic.gbff.gz,SRR10520180
GCF_000950775.1_ASM95077v1_genomic.gbff.gz,SRR10520168
GCF_000952035.2_ASM95203v2_genomic.gbff.gz,SRR10520170
GCF_000952895.1_BS34ACh_genomic.gbff.gz,SRR10520175
GCF_000952915.1_9231-Abomsa assembly V8_genomic.gbff.gz,SRR10520169
GCF_000952935.1_CAAB7_genomic.gbff.gz,SRR23802529
GCF_000952955.1_EcRV308Chr_genomic.gbff.gz,SRR11245281
GCF_000952975.1_D1G_genomic.gbff.gz,SRR3049886
GCF_000953015.1_Candidatus Methylopumilus turicensis MMS-10A-171_genomic.gbff.gz,SRR10270519
GCF_000953035.1_NCTC1_genomic.gbff.gz,SRR3205957
GCF_000953095.1_BP_3921g_genomic.gbff.gz,SRR10436013
GCF_000953135.1_LFA_genomic.gbff.gz,SRR9005306
GCF_000953195.1_Acholeplasma oculi strain 19L_genomic.gbff.gz,SRR20046043
GCF_000953215.1_DG5_genomic.gbff.gz,SRR20046041
GCF_000953235.1_ILRI181.1_genomic.gbff.gz,SRR10441469
GCF_000953255.1_Staphylococcus_aureus_Sa_ILRI_217_genomic.gbff.gz,SRR10436015
GCF_000953275.1_CD630DERM_genomic.gbff.gz,SRR10504841
GCF_000953295.1_AD-CAI.1_genomic.gbff.gz,SRR10158976
GCF_000953315.1_Wau001_genomic.gbff.gz,SRR10158956
GCF_000953355.1_XNC2_genomic.gbff.gz,SRR9988393
GCF_000953375.1_F38.1_genomic.gbff.gz,SRR9988394
GCF_000953395.1_TV-BCN.1_genomic.gbff.gz,SRR9172097
GCF_000953415.1_AF-CAI.1_genomic.gbff.gz,SRR9172018
GCF_000953435.1_CEM1.1_genomic.gbff.gz,SRR9171842
GCF_000953455.1_Ppseudo_Pac_genomic.gbff.gz,SRR9163435
GCF_000953475.1_MfumSolVChr1_genomic.gbff.gz,SRR9163323
GCF_000953495.1_SINFA_genomic.gbff.gz,SRR9172127
GCF_000953515.1_EcHMS174Chr_genomic.gbff.gz,SRR9172122
GCF_000953535.1_E5B_genomic.gbff.gz,SRR9172272
GCF_000953575.1_Staphylococcus xylosus C2a_genomic.gbff.gz,SRR9174985
GCF_000953615.1_BS49Ch_genomic.gbff.gz,SRR9174982
GCF_000953635.1_LMI_genomic.gbff.gz,SRR9176618
GCF_000953655.1_LHA_genomic.gbff.gz,SRR9176607
GCF_000953695.1_AWOD1_genomic.gbff.gz,SRR9174979
GCF_000953715.1_DTL3_genomic.gbff.gz,SRR9174974
GCF_000953735.1_MVIS1_genomic.gbff.gz,SRR9172304
GCF_000954115.1_ASM95411v1_genomic.gbff.gz,SRR9176751
GCF_000954135.1_ASM95413v2_genomic.gbff.gz,SRR9176616
GCF_000954155.1_ASM95415v1_genomic.gbff.gz,SRR9176612
GCF_000954175.1_ASM95417v1_genomic.gbff.gz,SRR9176598
GCF_000954195.1_ASM95419v1_genomic.gbff.gz,SRR9176608
GCF_000955665.1_ASM95566v1_genomic.gbff.gz,SRR9176592
GCF_000956315.1_ASM95631v1_genomic.gbff.gz,SRR9174991
GCF_000958465.1_ASM95846v1_genomic.gbff.gz,SRR9176586
GCF_000959025.1_ASM95902v1_genomic.gbff.gz,SRR9176583
GCF_000959125.1_ASM95912v1_genomic.gbff.gz,SRR9176576
GCF_000959145.1_ASM95914v1_genomic.gbff.gz,SRR9162605
GCF_000959165.1_ASM95916v1_genomic.gbff.gz,SRR9162877
GCF_000959185.1_ASM95918v1_genomic.gbff.gz,SRR9161655
GCF_000959205.1_ASM95920v1_genomic.gbff.gz,SRR9161653
GCF_000959225.1_ASM95922v1_genomic.gbff.gz,SRR9172306
GCF_000959245.1_ASM95924v1_genomic.gbff.gz,SRR9163304
GCF_000959265.1_ASM95926v1_genomic.gbff.gz,SRR9163115
GCF_000959285.1_ASM95928v1_genomic.gbff.gz,SRR9163110
GCF_000959305.1_ASM95930v1_genomic.gbff.gz,SRR9163108
GCF_000959325.1_ASM95932v1_genomic.gbff.gz,DRR198110
GCF_000959345.1_ASM95934v1_genomic.gbff.gz,DRR083589
GCF_000959365.1_ASM95936v1_genomic.gbff.gz,SRR10617809
GCF_000959405.1_ASM95940v1_genomic.gbff.gz,SRR10617810
GCF_000959425.1_ASM95942v1_genomic.gbff.gz,SRR9174992
GCF_000959445.1_ASM95944v1_genomic.gbff.gz,SRR10501685
GCF_000959465.1_ASM95946v1_genomic.gbff.gz,SRR10425150
GCF_000959485.1_ASM95948v1_genomic.gbff.gz,SRR10673532
GCF_000959505.1_ASM95950v1_genomic.gbff.gz,DRR218417
GCF_000959525.1_ASM95952v1_genomic.gbff.gz,SRR16178826
GCF_000959545.1_ASM95954v1_genomic.gbff.gz,SRR15249731
GCF_000959605.1_ASM95960v1_genomic.gbff.gz,SRR10662239
GCF_000959625.1_ASM95962v1_genomic.gbff.gz,SRR10662240
GCF_000959705.2_ASM95970v2_genomic.gbff.gz,SRR11188287
GCF_000959725.1_ASM95972v1_genomic.gbff.gz,SRR11194321
GCF_000960975.1_ASM96097v1_genomic.gbff.gz,SRR11194317
GCF_000960995.1_ASM96099v1_genomic.gbff.gz,SRR11194316
GCF_000961015.1_ASM96101v1_genomic.gbff.gz,SRR11194318
GCF_000961095.1_ASM96109v1_genomic.gbff.gz,SRR11194320
GCF_000961155.1_ASM96115v1_genomic.gbff.gz,SRR11194319
GCF_000961175.1_ASM96117v1_genomic.gbff.gz,SRR3934222
GCF_000961195.1_ASM96119v1_genomic.gbff.gz,SRR8186768
GCF_000961215.1_ASM96121v1_genomic.gbff.gz,SRR11187857
GCF_000961235.1_ASM96123v1_genomic.gbff.gz,SRR22581100
GCF_000961255.1_ASM96125v1_genomic.gbff.gz,SRR22692509
GCF_000961275.1_ASM96127v1_genomic.gbff.gz,SRR22580908
GCF_000961295.1_ASM96129v1_genomic.gbff.gz,SRR10686571
GCF_000961315.1_ASM96131v1_genomic.gbff.gz,SRR10688428
GCF_000961335.1_ASM96133v1_genomic.gbff.gz,SRR9167361
GCF_000961355.1_ASM96135v1_genomic.gbff.gz,SRR9171525
GCF_000961375.1_ASM96137v1_genomic.gbff.gz,SRR9171533
GCF_000961395.1_ASM96139v1_genomic.gbff.gz,SRR9171837
GCF_000961415.1_ASM96141v1_genomic.gbff.gz,SRR9171835
GCF_000961435.1_ASM96143v1_genomic.gbff.gz,SRR9171838
GCF_000961455.1_ASM96145v1_genomic.gbff.gz,DRR347270
GCF_000961475.1_ASM96147v1_genomic.gbff.gz,SRR10882921
GCF_000961495.1_ASM96149v1_genomic.gbff.gz,SRR11536938
GCF_000961515.1_ASM96151v1_genomic.gbff.gz,SRR11192235
GCF_000962775.1_ASM96277v1_genomic.gbff.gz,SRR10912304
GCF_000963495.1_ASM96349v1_genomic.gbff.gz,SRR10912285
GCF_000963515.1_ASM96351v1_genomic.gbff.gz,SRR10912294
GCF_000963535.2_ASM96353v2_genomic.gbff.gz,SRR9606755
GCF_000963555.1_ASM96355v1_genomic.gbff.gz,SRR5188337
GCF_000963575.1_ASM96357v1_genomic.gbff.gz,SRR5192452
GCF_000963635.1_ASM96363v1_genomic.gbff.gz,SRR5192553
GCF_000963645.1_ASM96364v1_genomic.gbff.gz,SRR5192078
GCF_000963675.1_ASM96367v1_genomic.gbff.gz,SRR13189227
GCF_000963815.1_ASM96381v1_genomic.gbff.gz,SRR8360316
GCF_000963835.1_ASM96383v1_genomic.gbff.gz,SRR23700095
GCF_000963865.1_ASM96386v1_genomic.gbff.gz,SRR5183091
GCF_000964565.1_ASM96456v1_genomic.gbff.gz,SRR5188235
GCF_000965785.1_ASM96578v1_genomic.gbff.gz,SRR5192052
GCF_000966445.2_ASM96644v2_genomic.gbff.gz,SRR5192268
GCF_000967115.2_CT1_genomic.gbff.gz,SRR6156245
GCF_000967135.1_CFV_genomic.gbff.gz,SRR6156256
GCF_000967155.2_HUSEC2011CHR1_genomic.gbff.gz,SRR10802357
GCF_000967285.1_ASM96728v1_genomic.gbff.gz,SRR10278957
GCF_000967305.2_ASM96730v2_genomic.gbff.gz,SRR10969385
GCF_000967325.1_ASM96732v1_genomic.gbff.gz,SRR7945280
GCF_000967345.1_ASM96734v1_genomic.gbff.gz,SRR10176392
GCF_000967365.1_ASM96736v1_genomic.gbff.gz,SRR8173992
GCF_000967385.1_ASM96738v1_genomic.gbff.gz,SRR10672463
GCF_000967405.1_ASM96740v1_genomic.gbff.gz,SRR10672464
GCF_000967425.1_ASM96742v1_genomic.gbff.gz,SRR10672465
GCF_000967445.1_ASM96744v1_genomic.gbff.gz,SRR10672478
GCF_000967895.1_ASM96789v1_genomic.gbff.gz,SRR10672467
GCF_000967915.1_ASM96791v1_genomic.gbff.gz,SRR10672489
GCF_000968055.1_ASM96805v1_genomic.gbff.gz,SRR10672502
GCF_000968115.1_ASM96811v1_genomic.gbff.gz,SRR10672503
GCF_000968135.1_ASM96813v1_genomic.gbff.gz,SRR10896391
GCF_000968155.1_ASM96815v1_genomic.gbff.gz,SRR10896389
GCF_000968175.1_ASM96817v1_genomic.gbff.gz,SRR11483200
GCF_000968195.1_ASM96819v1_genomic.gbff.gz,SRR11483197
GCF_000968335.1_ASM96833v1_genomic.gbff.gz,SRR8776856
GCF_000968375.1_ASM96837v1_genomic.gbff.gz,SRR8776862
GCF_000968415.2_ASM96841v2_genomic.gbff.gz,SRR8776847
GCF_000968515.1_ASM96851v1_genomic.gbff.gz,SRR8776837
GCF_000968535.2_ASM96853v1_genomic.gbff.gz,SRR8776848
GCF_000968715.2_ASM96871v2_genomic.gbff.gz,SRR8776854
GCF_000968945.1_ASM96894v1_genomic.gbff.gz,SRR8776859
GCF_000969225.1_ASM96922v1_genomic.gbff.gz,SRR8776861
GCF_000969235.1_ASM96923v1_genomic.gbff.gz,SRR8776863
GCF_000969265.1_ASM96926v1_genomic.gbff.gz,SRR8776853
GCF_000969315.2_ASM96931v2_genomic.gbff.gz,SRR8776835
GCF_000969645.2_ASM96964v2_genomic.gbff.gz,SRR8776858
GCF_000969685.2_ASM96968v1_genomic.gbff.gz,SRR8776851
GCF_000969765.1_ASM96976v1_genomic.gbff.gz,SRR8776836
GCF_000970665.2_ASM97066v2_genomic.gbff.gz,SRR8776857
GCF_000971565.1_ASM97156v1_genomic.gbff.gz,SRR8776850
GCF_000971615.1_ASM97161v1_genomic.gbff.gz,SRR8776852
GCF_000971665.1_ASM97166v1_genomic.gbff.gz,SRR8776840
GCF_000971705.1_ASM97170v1_genomic.gbff.gz,SRR8776855
GCF_000971725.1_ASM97172v1_genomic.gbff.gz,SRR8776846
GCF_000971765.1_ASM97176v1_genomic.gbff.gz,SRR8776841
GCF_000971925.1_ASM97192v1_genomic.gbff.gz,SRR8776849
GCF_000972245.3_ASM97224v3_genomic.gbff.gz,SRR8776845
GCF_000972685.1_ASM97268v1_genomic.gbff.gz,SRR8776844
GCF_000972725.1_ASM97272v1_genomic.gbff.gz,SRR8776839
GCF_000972745.1_ASM97274v1_genomic.gbff.gz,SRR8776843
GCF_000972765.1_ASM97276v1_genomic.gbff.gz,SRR8776838
GCF_000972785.3_ASM97278v3_genomic.gbff.gz,SRR8776815
GCF_000972805.1_ASM97280v1_genomic.gbff.gz,SRR8776842
GCF_000972865.1_ASM97286v1_genomic.gbff.gz,SRR8776832
GCF_000973085.1_ASM97308v1_genomic.gbff.gz,SRR8776833
GCF_000973105.1_ASM97310v1_genomic.gbff.gz,SRR8776834
GCF_000973125.1_ASM97312v1_genomic.gbff.gz,SRR8776830
GCF_000973485.1_ASM97348v1_genomic.gbff.gz,SRR8776827
GCF_000973505.1_ASM97350v1_genomic.gbff.gz,SRR8776831
GCF_000973525.1_ASM97352v1_genomic.gbff.gz,SRR8776810
GCF_000973545.1_ASM97354v1_genomic.gbff.gz,SRR8776807
GCF_000973565.1_ASM97356v1_genomic.gbff.gz,SRR8776814
GCF_000973585.1_ASM97358v1_genomic.gbff.gz,SRR8776828
GCF_000973605.1_ASM97360v1_genomic.gbff.gz,SRR8776829
GCF_000973625.1_ASM97362v1_genomic.gbff.gz,SRR8776803
GCF_000973645.1_ASM97364v1_genomic.gbff.gz,SRR8776808
GCF_000973665.2_ASM97366v2_genomic.gbff.gz,SRR8776826
GCF_000973685.2_ASM97368v2_genomic.gbff.gz,SRR8776809
GCF_000973705.1_ASM97370v1_genomic.gbff.gz,SRR8776796
GCF_000973725.1_ASM97372v1_genomic.gbff.gz,SRR8776797
GCF_000974405.1_ASM97440v1_genomic.gbff.gz,SRR8776798
GCF_000974425.1_ASM97442v1_genomic.gbff.gz,SRR8776811
GCF_000974465.1_ASM97446v1_genomic.gbff.gz,SRR8776812
GCF_000974505.1_ASM97450v1_genomic.gbff.gz,SRR8776813
GCF_000974535.1_ASM97453v1_genomic.gbff.gz,SRR8776802
GCF_000974575.1_ASM97457v1_genomic.gbff.gz,SRR8776799
GCF_000974685.2_FaOYT1_2.0_genomic.gbff.gz,SRR8776805
GCF_000974825.1_ASM97482v1_genomic.gbff.gz,SRR8776801
GCF_000974835.2_ASM97483v2_genomic.gbff.gz,SRR8776800
GCF_000974865.1_ASM97486v1_genomic.gbff.gz,SRR8776804
GCF_000974885.1_ASM97488v1_genomic.gbff.gz,SRR8776806
GCF_000975175.1_ASM97517v1_genomic.gbff.gz,SRR11613604
GCF_000975245.1_ASM97524v1_genomic.gbff.gz,SRR11613596
GCF_000975265.2_ASM97526v2_genomic.gbff.gz,SRR11613598
GCF_000978375.1_ASM97837v1_genomic.gbff.gz,SRR10260289
GCF_000978495.1_ASM97849v1_genomic.gbff.gz,SRR8292155
GCF_000978535.1_ASM97853v1_genomic.gbff.gz,SRR10916150
GCF_000978555.1_ASM97855v1_genomic.gbff.gz,DRR201557
GCF_000978575.1_ASM97857v1_genomic.gbff.gz,SRR8776860
GCF_000978785.2_ASM97878v2_genomic.gbff.gz,DRR202928
GCF_000978815.2_ASM97881v2_genomic.gbff.gz,DRR205461
GCF_000978845.2_ASM97884v2_genomic.gbff.gz,DRR205328
GCF_000980815.1_ASM98081v1_genomic.gbff.gz,DRR205326
GCF_000980835.1_ASM98083v1_genomic.gbff.gz,SRR11278957
GCF_000981485.1_EcoliK12AG100_genomic.gbff.gz,SRR11089018
GCF_000981505.1_Candidatus Methylopumilus planktonicus MMS-2-53_genomic.gbff.gz,SRR11028902
GCF_000981525.1_L_piscium_genomic.gbff.gz,SRR10992855
GCF_000981545.1_Y1_genomic.gbff.gz,SRR10973935
GCF_000981565.1_W1_genomic.gbff.gz,SRR11038980
GCF_000981585.1_SBR5(T)_genomic.gbff.gz,SRR11038979
GCF_000981765.1_ASM98176v1_genomic.gbff.gz,SRR11038978
GCF_000981785.2_ASM98178v2_genomic.gbff.gz,SRR11038975
GCF_000981805.1_ASM98180v1_genomic.gbff.gz,SRR11038977
GCF_000981825.1_ASM98182v1_genomic.gbff.gz,SRR11038976
GCF_000981845.1_ASM98184v1_genomic.gbff.gz,SRR11038972
GCF_000982695.1_ASM98269v1_genomic.gbff.gz,SRR11038973
GCF_000982715.1_ASM98271v1_genomic.gbff.gz,SRR11038971
GCF_000982825.1_ASM98282v1_genomic.gbff.gz,SRR11038970
GCF_000986765.1_ASM98676v1_genomic.gbff.gz,SRR11038969
GCF_000987825.1_ASM98782v1_genomic.gbff.gz,SRR11038968
GCF_000987835.1_ASM98783v1_genomic.gbff.gz,SRR11038967
GCF_000987865.1_ASM98786v1_genomic.gbff.gz,SRR11038966
GCF_000987875.1_ASM98787v1_genomic.gbff.gz,SRR10954731
GCF_000987925.1_ASM98792v1_genomic.gbff.gz,SRR11028903
GCF_000988065.1_ASM98806v1_genomic.gbff.gz,SRR25180708
GCF_000988345.1_ASM98834v1_genomic.gbff.gz,SRR10968459
GCF_000988355.1_ASM98835v1_genomic.gbff.gz,SRR10968458
GCF_000988385.1_ASM98838v1_genomic.gbff.gz,SRR9861702
GCF_000988395.1_ASM98839v1_genomic.gbff.gz,SRR9861705
GCF_000988425.1_ASM98842v1_genomic.gbff.gz,SRR9861755
GCF_000988465.1_ASM98846v1_genomic.gbff.gz,SRR9861757
GCF_000988485.1_ASM98848v1_genomic.gbff.gz,SRR9861759
GCF_000988525.3_ASM98852v3_genomic.gbff.gz,ERR1597474
GCF_000988565.1_ASM98856v1_genomic.gbff.gz,SRR11584258
GCF_000988605.1_ASM98860v1_genomic.gbff.gz,SRR10968453
GCF_000988615.1_ASM98861v1_genomic.gbff.gz,SRR10968460
GCF_000988655.1_ASM98865v1_genomic.gbff.gz,SRR11014408
GCF_000988685.1_ASM98868v1_genomic.gbff.gz,DRR161200
GCF_000988705.1_ASM98870v1_genomic.gbff.gz,DRR161237
GCF_000988725.2_ASM98872v2_genomic.gbff.gz,SRR10996893
GCF_000988745.2_ASM98874v3_genomic.gbff.gz,DRR218415
GCF_000993725.1_ASM99372v1_genomic.gbff.gz,DRR218416
GCF_000993745.1_ASM99374v1_genomic.gbff.gz,DRR218414
GCF_000993765.1_ASM99376v1_genomic.gbff.gz,SRR11011985
GCF_000993785.3_ASM99378v3_genomic.gbff.gz,SRR11011689
GCF_000993825.1_ASM99382v1_genomic.gbff.gz,SRR11193105
GCF_001005265.1_ASM100526v1_genomic.gbff.gz,SRR11105306
GCF_001005905.1_ASM100590v1_genomic.gbff.gz,SRR9639892
