ReferenceGenome,SRA_Data
GCF_000010105.1_ASM1010v1_genomic.gbff.gz,SRR398632
GCF_000010125.1_ASM1012v1_genomic.gbff.gz,SRR3924410
GCF_000010145.1_ASM1014v1_genomic.gbff.gz,SRR3926717
GCF_000010165.1_ASM1016v1_genomic.gbff.gz,SRR3927315
GCF_000010185.1_ASM1018v1_genomic.gbff.gz,SRR3924095
GCF_000010205.1_ASM1020v1_genomic.gbff.gz,SRR3926769
GCF_000010225.1_ASM1022v1_genomic.gbff.gz,SRR2533538
GCF_000010245.2_ASM1024v1_genomic.gbff.gz,SRR2533539
GCF_000010265.1_ASM1026v1_genomic.gbff.gz,SRR3923640
GCF_000010285.1_ASM1028v1_genomic.gbff.gz,SRR065678
GCF_000010305.1_ASM1030v1_genomic.gbff.gz,SRR3926350
GCF_000010325.1_ASM1032v1_genomic.gbff.gz,SRR3926786
GCF_000010345.1_ASM1034v1_genomic.gbff.gz,SRR3923884
GCF_000010365.1_ASM1036v1_genomic.gbff.gz,DRR000001
GCF_000010385.1_ASM1038v1_genomic.gbff.gz,SRR3923638
GCF_000010405.1_ASM1040v1_genomic.gbff.gz,SRR3927354
GCF_000010425.1_ASM1042v1_genomic.gbff.gz,SRR3927355
GCF_000010445.1_ASM1044v1_genomic.gbff.gz,SRR3927348
GCF_000010465.1_ASM1046v1_genomic.gbff.gz,SRR3926775
GCF_000010485.1_ASM1048v1_genomic.gbff.gz,SRR3923942
GCF_000010505.1_ASM1050v1_genomic.gbff.gz,SRR3926795
GCF_000010525.1_ASM1052v1_genomic.gbff.gz,SRR3926445
GCF_000010545.1_ASM1054v1_genomic.gbff.gz,SRR3926725
GCF_000010565.1_ASM1056v1_genomic.gbff.gz,SRR3923793
GCF_000010585.1_ASM1058v1_genomic.gbff.gz,SRR3923561
GCF_000010605.1_ASM1060v1_genomic.gbff.gz,SRR3927025
GCF_000010625.1_ASM1062v1_genomic.gbff.gz,SRR3927533
GCF_000010645.1_ASM1064v1_genomic.gbff.gz,SRR3927033
GCF_000010665.1_ASM1066v1_genomic.gbff.gz,SRR3927534
GCF_000010685.1_ASM1068v1_genomic.gbff.gz,SRR3926185
GCF_000010705.1_ASM1070v1_genomic.gbff.gz,SRR3926901
GCF_000010725.1_ASM1072v1_genomic.gbff.gz,SRR3926340
GCF_000010745.1_ASM1074v1_genomic.gbff.gz,SRR3927989
GCF_000010765.1_ASM1076v1_genomic.gbff.gz,SRR3927273
GCF_000010785.1_ASM1078v1_genomic.gbff.gz,SRR3922606
GCF_000010805.1_ASM1080v1_genomic.gbff.gz,SRR3926346
GCF_000010825.1_ASM1082v1_genomic.gbff.gz,SRR3927269
GCF_000010845.1_ASM1084v1_genomic.gbff.gz,SRR3927493
GCF_000010865.1_ASM1086v1_genomic.gbff.gz,SRR3923921
GCF_000010885.1_ASM1088v1_genomic.gbff.gz,SRR3924303
GCF_000010905.1_ASM1090v1_genomic.gbff.gz,SRR3924561
GCF_000010925.1_ASM1092v1_genomic.gbff.gz,SRR3926787
GCF_000010945.1_ASM1094v1_genomic.gbff.gz,SRR13195562
GCF_000010965.1_ASM1096v1_genomic.gbff.gz,SRR058900
GCF_000010985.1_ASM1098v1_genomic.gbff.gz,SRR3926728
GCF_000011025.1_ASM1102v1_genomic.gbff.gz,SRR067872
GCF_000011045.1_ASM1104v1_genomic.gbff.gz,SRR3927029
GCF_000011065.1_ASM1106v1_genomic.gbff.gz,SRR190861
GCF_000011145.1_ASM1114v1_genomic.gbff.gz,SRR3927022
GCF_000011165.1_ASM1116v1_genomic.gbff.gz,SRR072399
GCF_000011225.1_ASM1122v1_genomic.gbff.gz,SRR3927500
GCF_000011245.1_ASM1124v1_genomic.gbff.gz,SRR3927256
GCF_000011265.1_ASM1126v1_genomic.gbff.gz,SRR3926339
GCF_000011285.1_ASM1128v1_genomic.gbff.gz,SRR060959
GCF_000011305.1_ASM1130v1_genomic.gbff.gz,SRR3927502
GCF_000011325.1_ASM1132v1_genomic.gbff.gz,SRR526974
GCF_000011345.1_ASM1134v1_genomic.gbff.gz,SRR3925142
GCF_000011365.1_ASM1136v1_genomic.gbff.gz,SRR3928444
GCF_000011385.1_ASM1138v1_genomic.gbff.gz,SRR3927407
GCF_000011405.1_ASM1140v1_genomic.gbff.gz,SRR072709
GCF_000011445.1_ASM1144v1_genomic.gbff.gz,DRR002427
GCF_000011465.1_ASM1146v1_genomic.gbff.gz,SRR3927494
GCF_000011485.1_ASM1148v1_genomic.gbff.gz,SRR3926781
GCF_000011505.1_ASM1150v1_genomic.gbff.gz,SRR350631
GCF_000011525.1_ASM1152v1_genomic.gbff.gz,SRR3927316
GCF_000011545.1_ASM1154v1_genomic.gbff.gz,SRR3927032
GCF_000011565.2_ASM1156v2_genomic.gbff.gz,SRR3927388
GCF_000011605.1_ASM1160v1_genomic.gbff.gz,SRR3926763
GCF_000011625.1_ASM1162v1_genomic.gbff.gz,SRR3927255
GCF_000011645.1_ASM1164v1_genomic.gbff.gz,SRR3927179
GCF_000011665.1_ASM1166v1_genomic.gbff.gz,SRR059788
GCF_000011685.1_ASM1168v1_genomic.gbff.gz,SRR3927504
GCF_000011705.1_ASM1170v1_genomic.gbff.gz,SRR3927510
GCF_000011725.1_ASM1172v1_genomic.gbff.gz,SRR3927483
GCF_000011745.1_ASM1174v1_genomic.gbff.gz,SRR350069
GCF_000011765.3_ASM1176v2_genomic.gbff.gz,SRR4450511
GCF_000011805.1_ASM1180v1_genomic.gbff.gz,SRR3926124
GCF_000011825.1_ASM1182v1_genomic.gbff.gz,SRR3924065
GCF_000011845.1_ASM1184v1_genomic.gbff.gz,SRR402805
GCF_000011865.1_ASM1186v1_genomic.gbff.gz,SRR066212
GCF_000011885.1_ASM1188v1_genomic.gbff.gz,SRR3928448
GCF_000011905.1_ASM1190v1_genomic.gbff.gz,SRR3926758
GCF_000011925.1_ASM1192v1_genomic.gbff.gz,SRR3927317
GCF_000011945.1_ASM1194v1_genomic.gbff.gz,SRR3926796
GCF_000011965.2_ASM1196v2_genomic.gbff.gz,SRR3926597
GCF_000011985.1_ASM1198v1_genomic.gbff.gz,SRR071428
GCF_000012005.1_ASM1200v1_genomic.gbff.gz,SRR572209
GCF_000012025.1_ASM1202v1_genomic.gbff.gz,SRR12171188
GCF_000012045.1_ASM1204v1_genomic.gbff.gz,SRR9067244
GCF_000012085.2_ASM1208v2_genomic.gbff.gz,SRR3924555
GCF_000012105.1_ASM1210v1_genomic.gbff.gz,SRR494484
GCF_000012125.1_ASM1212v1_genomic.gbff.gz,SRR1427234
GCF_000012145.1_ASM1214v1_genomic.gbff.gz,SRR1505904
GCF_000012165.2_ASM1216v2_genomic.gbff.gz,SRR491264
GCF_000012185.1_ASM1218v1_genomic.gbff.gz,SRR491280
