RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000012665.1,NA,NA,ASM1266v1
GCF_000012685.1,SRS4279854,NA,ASM1268v1
GCF_000012705.1,NA,NA,ASM1270v1
GCF_000012725.1,NA,NA,ASM1272v1
GCF_000012745.1,NA,NA,ASM1274v1
GCF_000012765.1,NA,NA,ASM1276v1
GCF_000012785.1,NA,NA,ASM1278v1
GCF_000012805.1,NA,NA,ASM1280v1
GCF_000012825.1,NA,NA,ASM1282v1
GCF_000012845.1,NA,NA,ASM1284v1
GCF_000012865.1,NA,NA,ASM1286v1
GCF_000012885.1,NA,NA,ASM1288v1
GCF_000012925.1,NA,NA,ASM1292v1
GCF_000012945.1,NA,NA,ASM1294v1
GCF_000012965.1,NA,NA,ASM1296v1
GCF_000012985.1,NA,NA,ASM1298v1
GCF_000013005.1,SRS211649,NA,ASM1300v1
GCF_000013025.1,NA,NA,ASM1302v1
GCF_000013045.1,NA,NA,ASM1304v1
GCF_000013065.1,NA,NA,ASM1306v1
GCF_000013085.1,NA,NA,ASM1308v1
GCF_000013125.1,NA,NA,ASM1312v1
GCF_000013145.1,NA,NA,ASM1314v1
GCF_000013165.1,NA,NA,ASM1316v1
GCF_000013185.1,NA,NA,ASM1318v1
GCF_000013205.1,NA,NA,ASM1320v1
GCF_000013225.1,NA,NA,ASM1322v1
GCF_000013245.1,NA,NA,ASM1324v1
GCF_000013265.1,SRS000341,NA,ASM1326v1
GCF_000013285.1,NA,NA,ASM1328v1
GCF_000013305.1,NA,NA,ASM1330v1
GCF_000013325.1,NA,NA,ASM1332v1
GCF_000013345.1,SRS441325,SRR896550,ASM1334v1
GCF_000013365.1,SRS1564311,NA,ASM1336v1
GCF_000013385.1,NA,NA,ASM1338v1
GCF_000013405.1,NA,NA,ASM1340v1
GCF_000013425.1,NA,NA,ASM1342v1
GCF_000013465.1,NA,NA,ASM1346v1
GCF_000013485.1,NA,NA,ASM1348v1
GCF_000013505.1,NA,NA,ASM1350v1
GCF_000013525.1,NA,NA,ASM1352v1
GCF_000013545.1,NA,NA,ASM1354v1
GCF_000013565.1,NA,NA,ASM1356v1
GCF_000013585.1,NA,NA,ASM1358v1
GCF_000013605.1,NA,NA,ASM1360v1
GCF_000013625.1,NA,NA,ASM1362v1
GCF_000013645.1,NA,NA,ASM1364v1
GCF_000013665.1,NA,NA,ASM1366v1
GCF_000013685.1,NA,NA,ASM1368v1
GCF_000013705.1,NA,NA,ASM1370v1
GCF_000013765.1,NA,NA,ASM1376v1
GCF_000013785.1,NA,NA,ASM1378v1
GCF_000013805.1,NA,NA,ASM1380v1
GCF_000013825.1,NA,NA,ASM1382v1
GCF_000013845.2,NA,NA,ASM1384v2
GCF_000013865.1,NA,NA,ASM1386v1
GCF_000013885.1,NA,NA,ASM1388v1
GCF_000013905.1,NA,NA,ASM1390v1
GCF_000013925.1,NA,NA,ASM1392v2
GCF_000013945.1,NA,NA,ASM1394v1
GCF_000013965.1,NA,NA,ASM1396v1
GCF_000013985.1,NA,NA,ASM1398v1
GCF_000014005.1,NA,NA,ASM1400v1
GCF_000014025.1,NA,NA,ASM1402v1
GCF_000014045.1,NA,NA,ASM1404v1
GCF_000014065.1,NA,NA,ASM1406v1
GCF_000014105.1,NA,NA,ASM1410v1
GCF_000014125.1,NA,NA,ASM1412v1
GCF_000014145.1,NA,NA,ASM1414v1
GCF_000014185.1,SRS8752049,SRR14299225,ASM1418v1
GCF_000014205.1,NA,NA,ASM1420v1
GCF_000014225.1,NA,NA,ASM1422v1
GCF_000014285.2,NA,NA,ASM1428v2
GCF_000014305.1,NA,NA,ASM1430v1
GCF_000014325.1,NA,NA,ASM1432v1
GCF_000014345.1,NA,NA,ASM1434v1
GCF_000014365.2,NA,NA,ASM1436v2
GCF_000014385.1,NA,NA,ASM1438v1
GCF_000014405.1,NA,NA,ASM1440v1
GCF_000014425.1,SRS1564232,NA,ASM1442v1
GCF_000014445.1,NA,NA,ASM1444v1
GCF_000014465.1,NA,NA,ASM1446v1
GCF_000014485.1,NA,NA,ASM1448v1
GCF_000014505.1,NA,NA,ASM1450v1
GCF_000014525.1,NA,NA,ASM1452v1
GCF_000014545.1,NA,NA,ASM1454v1
GCF_000014565.1,NA,NA,ASM1456v1
GCF_000014585.1,NA,NA,ASM1458v1
GCF_000014605.1,NA,NA,ASM1460v1
GCF_000014625.1,NA,NA,ASM1462v1
GCF_000014645.1,NA,NA,ASM1464v1
GCF_000014685.1,NA,NA,ASM1468v1
GCF_000014705.1,NA,NA,ASM1470v1
GCF_000014725.1,NA,NA,ASM1472v1
GCF_000014745.1,NA,NA,ASM1474v1
GCF_000014765.1,NA,NA,ASM1476v1
GCF_000014785.1,NA,NA,ASM1478v1
GCF_000014805.1,NA,NA,ASM1480v1
GCF_000014845.1,NA,NA,ASM1484v1
GCF_000014865.1,NA,NA,ASM1486v1
GCF_000014885.1,NA,NA,ASM1488v1
GCF_000014925.1,NA,NA,ASM1492v1
GCF_000014965.1,NA,NA,ASM1496v1
GCF_000014985.1,NA,NA,ASM1498v1
GCF_000015005.1,NA,NA,ASM1500v1
GCF_000015025.1,NA,NA,ASM1502v1
GCF_000015045.1,NA,NA,ASM1504v1
GCF_000015065.1,NA,NA,ASM1506v1
GCF_000015085.1,NA,NA,ASM1508v1
GCF_000015105.1,NA,NA,ASM1510v1
GCF_000015125.1,NA,NA,ASM1512v1
GCF_000015165.1,NA,NA,ASM1516v1
GCF_000015185.1,NA,NA,ASM1518v1
GCF_000015245.1,SRS1564870,NA,ASM1524v1
GCF_000015265.1,NA,NA,ASM1526v1
GCF_000015285.1,NA,NA,ASM1528v1
GCF_000015305.1,NA,NA,ASM1530v1
GCF_000015325.1,NA,NA,ASM1532v1
GCF_000015345.1,NA,NA,ASM1534v1
GCF_000015365.1,NA,NA,ASM1536v1
GCF_000015385.1,NA,NA,ASM1538v1
GCF_000015425.1,NA,NA,ASM1542v1
GCF_000015445.1,NA,NA,ASM1544v1
GCF_000015465.1,NA,NA,ASM1546v1
GCF_000015485.1,SRS1564980,NA,ASM1548v1
GCF_000015505.1,NA,NA,ASM1550v1
GCF_000015525.1,NA,NA,ASM1552v1
GCF_000015545.1,NA,NA,ASM1554v1
GCF_000015565.1,SRS1689554,NA,ASM1556v1
GCF_000015585.1,SRS211714,NA,ASM1558v1
GCF_000015605.1,NA,NA,ASM1560v1
GCF_000015625.1,NA,NA,ASM1562v1
GCF_000015645.1,NA,NA,ASM1564v1
GCF_000015665.1,NA,NA,ASM1566v1
GCF_000015685.1,NA,NA,ASM1568v1
GCF_000015705.1,NA,NA,ASM1570v1
GCF_000015725.1,NA,NA,ASM1572v1
GCF_000015745.1,NA,NA,ASM1574v1
GCF_000015785.2,NA,NA,ASM1578v2
GCF_000015845.1,NA,NA,ASM1584v1
GCF_000015865.1,SRS664668,SRR891341,ASM1586v1
